序号,区域,国家,省份/州,城市,景区名称(中),景区名称(英),大类,细分类型,中国签证政策,游客口碑,亲子友好度,老人友好度,夫妻友好度,一人游友好度,适合儿童年龄段,儿童出行备注,建议游览时长,日均预算,预算货币,交通可达性,全年适宜度,最佳旅游季节,最佳月份,文化/生态/独特价值,基础设施与配套,性价比,旅游安全度,华人安全度,综合加权满意度,特色活动与玩法,数据来源
108,国内,中国,上海,浦东新区,上海野生动物园,,景区,动物园,国内,8.3,9.2,6.1,7.6,6.4,3-14岁,,5,524,RMB,9.1,7.0,春秋,3-5月/9-11月,7.0,8.6,8.45,9.5,10,7.84,,claude+gpt加权平均
109,国内,中国,江苏,苏州市,金鸡湖景区,,景区,城市湖泊,国内,8.3,7.6,7.4,8.5,7.2,6-16岁,,3,546,RMB,7.9,8.0,四季,3-11月,7.5,7.75,8.05,9.5,10,7.84,,claude+gpt加权平均
110,国内,中国,江苏,镇江市,金山-焦山-北固山旅游景区,,景区,历史文化,国内,8.55,6.7,6.2,8.2,7.4,6-16岁,,5,444,RMB,8.6,7.0,春秋,3-5月/9-11月,8.0,7.95,8.3,9.5,10,7.84,,claude+gpt加权平均
111,国内,中国,浙江,金华市,东阳横店影视城,,景区,影视主题,国内,8.4,8.7,6.1,7.8,7.3,3-14岁,,8,454,RMB,7.6,8.0,四季,3-11月,7.5,8.25,8.45,9.5,10,7.84,,claude+gpt加权平均
112,国内,中国,重庆,武隆区,武隆喀斯特旅游区,,景区,自然地质,国内,8.6,6.7,5.6,7.8,7.9,6-16岁,,6,544,RMB,7.6,6.0,春秋,3-5月/9-10月,9.5,7.95,7.9,9.5,10,7.84,,claude+gpt加权平均
113,国内,中国,湖南,岳阳市,岳阳楼-君山岛景区,,景区,历史文化,国内,8.35,6.7,6.7,8.1,7.95,6-16岁,,3,474,RMB,7.6,7.0,春秋,4-5月/9-10月,9.0,7.6,7.65,9.5,10,7.83,,claude+gpt加权平均
114,国内,中国,江西,上饶市,篁岭景区,,景区,古村落,国内,8.6,7.2,6.1,8.7,7.8,6-16岁,,4,441,RMB,6.9,5.0,春秋,3-4月/10-11月,9.0,7.75,8.4,9.5,10,7.82,,claude+gpt加权平均
115,国内,中国,湖北,十堰市,武当山风景区,,景区,宗教文化,国内,8.9,6.2,5.2,8.2,7.8,6-16岁,,8,574,RMB,7.6,6.0,春秋,3-5月/9-11月,9.5,7.85,7.75,9.5,10,7.82,,claude+gpt加权平均
116,国内,中国,贵州,遵义市,遵义会议会址景区,,景区,红色旅游,国内,8.5,5.0,7.0,6.0,8.0,全年龄,,2,400,RMB,7.0,9.0,四季,全年,9.5,8.0,9.0,9.5,10,7.82,,claude+gpt加权平均
117,国内,中国,浙江,杭州市,千岛湖风景名胜区,,景区,自然湖泊,国内,8.8,7.6,6.4,9.0,7.2,6-16岁,,6,546,RMB,6.9,7.0,春夏秋,4-10月,8.5,7.25,7.9,9.5,10,7.81,,claude+gpt加权平均
118,国内,中国,福建,龙岩市,福建土楼(永定·南靖),,景区,历史建筑,国内,8.5,7.2,6.6,7.8,7.9,6-16岁,,5,510,RMB,6.75,7.0,春秋,3-5月/9-11月,9.5,7.25,7.75,9.5,10,7.81,,claude+gpt加权平均
119,国内,中国,广东,深圳市,观澜湖休闲旅游区,,景区,度假休闲,国内,8.15,8.2,6.9,8.1,6.9,3-14岁,,5,574,RMB,8.6,7.0,四季,10-5月,7.0,8.35,8.2,9.5,10,7.79,,claude+gpt加权平均
120,国内,中国,江苏,徐州市,云龙湖景区,,景区,城市湖泊,国内,8.3,7.6,7.4,8.5,7.2,6-16岁,,3,421,RMB,7.4,8.0,四季,3-11月,7.5,7.25,8.55,9.5,10,7.78,,claude+gpt加权平均
121,国内,中国,江西,吉安市,井冈山风景旅游区,,景区,红色旅游,国内,8.7,6.7,5.7,7.7,7.8,6-16岁,,6,466,RMB,6.9,6.0,春秋,4-5月/9-10月,9.5,7.5,8.6,9.5,10,7.78,,claude+gpt加权平均
122,国内,中国,甘肃,敦煌市,鸣沙山-月牙泉景区,,景区,自然沙漠,国内,8.8,6.7,5.2,8.7,7.8,6-16岁,,4,524,RMB,7.1,4.0,春秋,5-6月/9-10月,9.5,7.85,8.2,9.5,10,7.78,,claude+gpt加权平均
123,国内,中国,山西,晋城市,皇城相府景区,,景区,历史文化,国内,8.55,6.7,7.1,7.8,7.45,6-16岁,,3,391,RMB,6.9,7.0,春秋,4-5月/9-10月,8.5,7.5,8.7,9.5,10,7.76,,claude+gpt加权平均
124,国内,中国,浙江,宁波市,溪口-滕头旅游景区,,景区,历史人文,国内,8.35,6.7,6.6,8.2,7.4,6-16岁,,5,494,RMB,8.1,7.0,春秋,3-5月/9-11月,8.0,7.95,8.0,9.5,10,7.76,,claude+gpt加权平均
125,国内,中国,广东,韶关市,丹霞山,,景区,自然地质,国内,8.6,6.2,5.2,8.2,7.8,6-16岁,,6,474,RMB,7.6,7.0,春秋,3-5月/9-11月,9.0,7.6,8.2,9.5,10,7.76,,claude+gpt加权平均
126,国内,中国,黑龙江,哈尔滨市,太阳岛景区,,景区,城市公园,国内,8.35,7.7,7.1,8.0,7.4,6-16岁,,4,544,RMB,9.1,5.0,夏冬,6-8月/12-2月,7.5,8.2,7.3,9.5,10,7.75,,claude+gpt加权平均
127,国内,中国,山东,威海市,刘公岛景区,,景区,历史文化,国内,8.45,6.7,6.6,8.0,7.8,6-16岁,,4,524,RMB,7.6,6.0,夏秋,5-10月,9.0,7.6,7.45,9.5,10,7.75,,claude+gpt加权平均
128,国内,中国,湖南,湘潭市,花明楼景区,,景区,红色旅游,国内,8.1,6.2,7.1,6.8,7.55,6-16岁,,3,394,RMB,8.1,8.0,四季,3-11月,8.5,7.7,8.7,9.5,10,7.75,,claude+gpt加权平均
129,国内,中国,四川,乐山市,峨眉山景区,,景区,自然/宗教,国内,9.3,6.2,4.7,8.2,7.8,6-16岁,,8,616,RMB,7.4,5.0,春秋,4-5月/9-10月,9.5,7.75,7.7,9.5,10,7.75,,claude+gpt加权平均
130,国内,中国,云南,西双版纳,中科院西双版纳植物园,,景区,自然生态,国内,8.4,8.7,6.6,7.3,7.2,3-14岁,,4,376,RMB,6.4,7.0,冬春,11-3月,8.5,7.4,8.95,9.5,10,7.75,,claude+gpt加权平均
131,国内,中国,安徽,合肥市,三河古镇,,景区,古镇水乡,国内,8.3,7.6,7.9,7.6,7.45,6-16岁,,3,524,RMB,8.1,8.0,春秋,3-5月/9-11月,7.5,7.6,7.25,9.5,10,7.74,,claude+gpt加权平均
132,国内,中国,江西,上饶市,三清山风景区,,景区,自然山岳,国内,8.9,5.7,4.7,8.2,7.8,全年龄,,6,466,RMB,7.4,6.0,春秋,4-6月/9-11月,9.5,7.5,8.45,9.5,10,7.74,,claude+gpt加权平均
133,国内,中国,河南,焦作市,云台山风景名胜区,,景区,自然山水,国内,8.9,6.7,5.7,8.2,7.3,6-16岁,,6,524,RMB,7.6,6.0,春秋夏,4-10月,8.5,8.1,7.75,9.5,10,7.74,,claude+gpt加权平均
134,国内,中国,湖北,宜昌市,三峡人家风景区,,景区,自然人文,国内,8.65,7.2,6.1,8.2,7.3,6-16岁,,5,474,RMB,7.6,7.0,春秋,4-10月,8.0,7.6,8.35,9.5,10,7.74,,claude+gpt加权平均
135,国内,中国,陕西,宝鸡市,法门寺佛文化景区,,景区,宗教文化,国内,8.45,6.2,6.6,7.7,7.3,6-16岁,,3,424,RMB,7.6,7.0,春秋,3-5月/9-11月,8.5,7.85,8.5,9.5,10,7.74,,claude+gpt加权平均
136,国内,中国,河北,唐山市,清东陵景区,,景区,历史文化,国内,8.25,6.2,6.9,7.3,7.45,6-16岁,,4,391,RMB,7.4,7.0,春秋,4-5月/9-10月,9.0,7.5,8.6,9.5,10,7.73,,claude+gpt加权平均
137,国内,中国,天津,蓟州区,盘山风景名胜区,,景区,自然山岳,国内,8.55,6.7,5.7,8.2,7.4,6-16岁,,5,444,RMB,8.1,7.0,春秋,4-5月/9-10月,8.0,7.95,8.05,9.5,10,7.72,,claude+gpt加权平均
138,国内,中国,江苏,苏州市,吴中太湖旅游区,,景区,自然湖泊,国内,8.35,7.6,6.9,8.5,7.2,6-16岁,,5,496,RMB,7.4,7.0,春夏秋,4-10月,8.0,7.25,8.05,9.5,10,7.72,,claude+gpt加权平均
139,国内,中国,江西,鹰潭市,龙虎山景区,,景区,道教文化,国内,8.65,6.7,5.7,8.2,7.3,6-16岁,,5,441,RMB,7.4,7.0,春秋,4-6月/9-11月,8.5,7.5,8.45,9.5,10,7.72,,claude+gpt加权平均
140,国内,中国,山东,烟台市,蓬莱阁旅游区(三仙山·八仙过海),,景区,历史文化,国内,8.45,7.2,6.2,8.5,7.3,6-16岁,,4,524,RMB,7.6,6.0,夏秋,5-10月,8.5,7.85,7.45,9.5,10,7.72,,claude+gpt加权平均
141,国内,中国,甘肃,天水市,麦积山景区,,景区,历史文化,国内,8.6,6.2,5.2,8.2,7.8,6-16岁,,3,424,RMB,7.1,6.0,春秋,4-5月/9-10月,9.5,7.35,8.45,9.5,10,7.72,,claude+gpt加权平均
142,国内,中国,陕西,黄陵县,黄帝陵景区,,景区,历史文化,国内,8.25,6.2,7.4,7.3,7.45,6-16岁,,2,399,RMB,7.1,7.0,春秋,4-5月/9-10月,9.0,7.35,8.5,9.5,10,7.71,,claude+gpt加权平均
143,国内,中国,吉林,延边州,长白山景区,,景区,自然火山,国内,9.3,6.7,5.2,8.2,7.7,6-16岁,,6,546,RMB,6.4,4.0,夏秋冬,7-9月/12-2月,9.5,7.25,8.7,9.5,10,7.7,,claude+gpt加权平均
144,国内,中国,山西,临汾市/延安市,黄河壶口瀑布旅游区,,景区,自然景观,国内,8.9,6.7,5.7,8.5,7.75,6-16岁,,2,410,RMB,6.75,5.0,春秋,4-5月/9-10月,9.0,7.1,8.55,9.5,10,7.69,,claude+gpt加权平均
145,国内,中国,吉林,长春市,净月潭景区,,景区,自然生态,国内,8.3,7.2,6.6,8.2,7.3,6-16岁,,4,424,RMB,8.1,6.0,夏秋冬,5-10月/12-2月,7.5,7.85,8.5,9.5,10,7.69,,claude+gpt加权平均
146,国内,中国,湖北,襄阳市,古隆中景区,,景区,历史文化,国内,8.3,6.7,6.6,7.7,7.3,6-16岁,,3,424,RMB,7.6,7.0,春秋,3-5月/9-11月,8.5,7.35,8.5,9.5,10,7.69,,claude+gpt加权平均
147,国内,中国,广东,惠州市,西湖风景名胜区,,景区,城市湖泊,国内,8.7,7.6,7.4,8.0,7.2,6-16岁,,3,521,RMB,7.4,8.0,四季,10-5月,7.5,7.25,7.5,9.5,10,7.69,,claude+gpt加权平均
148,国内,中国,安徽,池州市,九华山风景区,,景区,宗教文化,国内,9.2,5.7,5.2,8.2,7.7,全年龄,,6,546,RMB,6.9,6.0,春秋,3-5月/9-11月,9.5,7.25,7.85,9.5,10,7.68,,claude+gpt加权平均
149,国内,中国,河南,洛阳市,洛阳白马寺景区,,景区,宗教文化,国内,8.3,5.0,6.0,7.0,8.0,全年龄,,2,400,RMB,8.0,8.0,四季,3-11月,9.0,7.5,8.5,9.5,10,7.68,,claude+gpt加权平均
150,国内,中国,青海,西宁市,塔尔寺景区,,景区,宗教文化,国内,8.35,6.2,6.4,7.3,7.95,6-16岁,,3,404,RMB,7.6,5.0,夏秋,5-10月,9.0,7.6,8.7,9.5,10,7.68,,claude+gpt加权平均
151,国内,中国,甘肃,嘉峪关市,嘉峪关景区,,景区,历史文化,国内,8.35,6.7,6.6,7.8,7.95,6-16岁,,3,466,RMB,6.9,5.0,春秋,5-6月/9-10月,9.0,7.5,8.35,9.5,10,7.67,,claude+gpt加权平均
152,国内,中国,黑龙江,哈尔滨市,哈尔滨冰雪大世界,,景区,冰雪主题,国内,9.0,8.0,4.0,9.0,7.0,3-14岁,,3,800,RMB,9.0,2.0,冬,12-2月,9.0,8.0,6.5,9.5,10,7.66,,claude+gpt加权平均
153,国内,中国,青海,海北州,青海湖景区,,景区,自然湖泊,国内,9.0,6.6,5.9,9.0,7.75,6-16岁,,5,560,RMB,6.25,3.0,夏,7-8月,10.0,7.0,7.5,9.5,10,7.66,,claude+gpt加权平均
154,国内,中国,江西,瑞金市,瑞金共和国摇篮旅游区,,景区,红色旅游,国内,8.35,6.2,7.1,6.8,7.85,6-16岁,,4,371,RMB,6.4,8.0,四季,3-11月,9.0,6.75,9.15,9.5,10,7.65,,claude+gpt加权平均
155,国内,中国,云南,丽江市,玉龙雪山景区,,景区,自然冰川,国内,8.7,5.7,4.7,8.7,7.2,全年龄,,5,834,RMB,8.1,5.0,春冬,11-3月/4-5月,9.5,8.2,6.5,9.5,10,7.64,,claude+gpt加权平均
156,国内,中国,河北,邯郸市,娲皇宫景区,,景区,历史文化,国内,8.2,6.7,6.6,7.3,7.45,6-16岁,,3,366,RMB,7.4,7.0,春秋,4-5月/9-10月,8.5,7.25,8.6,9.5,10,7.63,,claude+gpt加权平均
157,国内,中国,山西,忻州市,五台山风景名胜区,,景区,宗教文化,国内,8.9,6.2,5.7,8.2,7.7,6-16岁,,8,496,RMB,6.9,5.0,夏,6-8月,9.5,7.0,7.75,9.5,10,7.63,,claude+gpt加权平均
158,国内,中国,江苏,南京市,牛首山文化旅游区,,景区,宗教文化,国内,8.5,6.0,5.0,8.0,7.0,6-16岁,,4,500,RMB,8.0,7.0,春秋,3-5月/9-11月,8.5,8.5,7.5,9.5,10,7.63,,claude+gpt加权平均
159,国内,中国,湖南,衡阳市,南岳衡山旅游区,,景区,宗教文化,国内,8.6,6.2,5.2,8.2,7.8,6-16岁,,6,524,RMB,7.6,6.0,春秋,4-5月/9-11月,9.0,7.6,7.4,9.5,10,7.63,,claude+gpt加权平均
160,国内,中国,河北,保定市,野三坡风景名胜区,,景区,自然山水,国内,8.35,7.2,6.1,8.2,7.3,6-16岁,,5,416,RMB,7.4,6.0,夏秋,5-10月,8.0,7.5,8.4,9.5,10,7.62,,claude+gpt加权平均
161,国内,中国,辽宁,本溪市,本溪水洞景区,,景区,自然溶洞,国内,8.35,7.2,6.1,7.7,7.3,6-16岁,,3,416,RMB,7.4,7.0,夏秋,5-10月,8.0,7.5,8.4,9.5,10,7.62,,claude+gpt加权平均
162,国内,中国,江苏,连云港市,花果山景区,,景区,自然人文,国内,8.35,7.2,5.7,7.7,7.3,6-16岁,,5,424,RMB,7.6,7.0,春秋,4-5月/9-10月,8.0,7.6,8.45,9.5,10,7.62,,claude+gpt加权平均
163,国内,中国,福建,泉州市,清源山景区,,景区,宗教文化,国内,8.55,6.2,5.7,7.7,7.7,6-16岁,,4,396,RMB,7.4,8.0,四季,3-11月,8.0,7.0,8.95,9.5,10,7.61,,claude+gpt加权平均
164,国内,中国,贵州,黔东南州,镇远古城景区,,景区,历史文化,国内,8.55,7.6,7.4,8.1,7.85,6-16岁,,5,521,RMB,5.9,7.0,春秋,3-5月/9-11月,8.5,6.75,7.4,9.5,10,7.61,,claude+gpt加权平均
165,国内,中国,云南,昆明市,昆明世博园景区,,景区,园艺展览,国内,8.1,7.2,7.1,7.2,6.9,6-16岁,,3,444,RMB,8.6,8.0,春,2-4月,7.0,7.95,8.0,9.5,10,7.61,,claude+gpt加权平均
166,国内,中国,陕西,渭南市,华山景区,,景区,自然山岳,国内,9.35,4.7,4.2,8.2,7.8,全年龄,,8,574,RMB,7.6,5.0,春秋,4-5月/9-10月,9.5,7.85,7.55,9.5,10,7.61,,claude+gpt加权平均
167,国内,中国,福建,龙岩市,古田旅游区,,景区,红色旅游,国内,8.2,6.2,7.1,6.8,7.45,6-16岁,,3,391,RMB,6.9,8.0,四季,3-11月,8.5,7.25,8.85,9.5,10,7.6,,claude+gpt加权平均
168,国内,中国,湖北,咸宁市,三国赤壁古战场景区,,景区,历史文化,国内,8.2,6.7,6.1,7.7,7.3,6-16岁,,3,416,RMB,7.4,7.0,春秋,4-5月/9-10月,8.5,7.25,8.4,9.5,10,7.6,,claude+gpt加权平均
169,国内,中国,湖南,株洲市,炎帝陵景区,,景区,历史文化,国内,8.1,6.2,6.9,6.8,7.45,6-16岁,,3,391,RMB,7.4,8.0,四季,3-11月,8.5,7.25,8.6,9.5,10,7.6,,claude+gpt加权平均
170,国内,中国,广西,百色市,百色起义纪念园,,景区,红色旅游,国内,8.2,6.2,7.1,6.8,7.45,6-16岁,,3,391,RMB,6.9,8.0,四季,3-11月,8.5,7.25,8.85,9.5,10,7.6,,claude+gpt加权平均
171,国内,中国,云南,保山市,腾冲火山热海旅游区,,景区,自然地质,国内,8.45,6.7,6.2,8.5,7.3,6-16岁,,5,566,RMB,6.9,7.0,秋冬春,10-4月,8.5,7.5,7.25,9.5,10,7.6,,claude+gpt加权平均
172,国内,中国,河北,衡水市,衡水湖旅游景区,,景区,自然生态,国内,8.2,7.6,7.4,8.0,7.3,6-16岁,,4,416,RMB,7.4,6.0,春夏秋,4-10月,7.5,7.5,7.85,9.5,10,7.59,,claude+gpt加权平均
173,国内,中国,山西,介休市,绵山风景区,,景区,自然人文,国内,8.65,6.7,5.7,8.2,7.3,6-16岁,,5,416,RMB,7.4,6.0,春夏秋,4-10月,8.0,7.5,8.45,9.5,10,7.59,,claude+gpt加权平均
174,国内,中国,江苏,无锡市,三国水浒城,,景区,影视主题,国内,8.0,7.2,6.1,7.7,6.9,6-16岁,,4,494,RMB,8.6,8.0,四季,3-11月,7.0,8.2,7.9,9.5,10,7.59,,claude+gpt加权平均
175,国内,中国,江苏,常州市,天目湖景区,,景区,自然湖泊,国内,8.35,8.1,6.9,8.5,6.7,3-14岁,,5,496,RMB,6.9,7.0,春秋,4-5月/9-10月,7.5,7.25,7.8,9.5,10,7.58,,claude+gpt加权平均
176,国内,中国,江西,上饶市,婺源江湾景区,,景区,自然人文,国内,8.45,6.7,6.1,8.2,7.8,6-16岁,,5,441,RMB,6.9,5.0,春,3-4月,8.5,7.25,8.4,9.5,10,7.58,,claude+gpt加权平均
177,国内,中国,广东,肇庆市,星湖旅游景区,,景区,自然山水,国内,8.2,7.1,6.9,8.0,7.3,6-16岁,,4,474,RMB,7.6,7.0,春秋冬,10-5月,7.5,7.6,7.8,9.5,10,7.58,,claude+gpt加权平均
178,国内,中国,海南,三亚市,大小洞天旅游区,,景区,自然人文,国内,8.2,6.7,5.7,8.2,7.4,6-16岁,,4,594,RMB,8.1,7.0,冬春秋,10-5月,7.5,7.95,7.7,9.5,10,7.57,,claude+gpt加权平均
179,国内,中国,甘肃,张掖市,张掖丹霞国家地质公园,,景区,自然地质,国内,9.0,6.0,5.0,9.0,8.0,6-16岁,,3,500,RMB,6.0,4.0,夏秋,6-9月,9.5,7.5,7.5,9.5,10,7.57,,claude+gpt加权平均
180,国内,中国,宁夏,银川市,水洞沟旅游区,,景区,历史遗址,国内,8.35,6.7,6.1,7.7,7.3,6-16岁,,3,399,RMB,7.6,6.0,夏秋,5-10月,8.0,7.6,8.5,9.5,10,7.57,,claude+gpt加权平均
181,国内,中国,宁夏,银川市,镇北堡西部影城,,景区,影视主题,国内,8.15,8.2,6.6,7.3,7.3,3-14岁,,3,329,RMB,7.6,6.0,夏秋,5-10月,7.0,7.75,8.95,9.5,10,7.57,,claude+gpt加权平均
182,国内,中国,江苏,徐州市,徐州汉文化景区,,景区,历史文化,国内,8.0,6.0,6.0,7.0,7.0,6-16岁,,3,350,RMB,8.0,8.0,四季,3-11月,8.5,7.5,8.5,9.5,10,7.56,,claude+gpt加权平均
183,国内,中国,浙江,台州市,神仙居景区,,景区,自然山岳,国内,8.6,6.2,5.6,8.2,7.7,6-16岁,,5,421,RMB,6.9,6.0,春秋,4-5月/9-10月,8.5,7.0,8.7,9.5,10,7.56,,claude+gpt加权平均
184,国内,中国,河北,保定市,清西陵景区,,景区,历史文化,国内,8.1,6.2,6.9,7.3,7.45,6-16岁,,4,391,RMB,6.9,7.0,春秋,4-5月/9-10月,8.5,7.25,8.6,9.5,10,7.55,,claude+gpt加权平均
185,国内,中国,吉林,通化市,高句丽文物古迹旅游景区,,景区,历史遗迹,国内,8.1,6.2,6.6,7.3,7.45,6-16岁,,3,391,RMB,6.9,7.0,夏秋,5-10月,9.0,7.0,8.35,9.5,10,7.55,,claude+gpt加权平均
186,国内,中国,河南,洛阳市,栾川老君山-鸡冠洞旅游区,,景区,自然山水,国内,8.7,6.2,5.2,8.2,7.4,6-16岁,,6,544,RMB,7.6,5.0,夏秋,5-10月,8.5,8.2,7.25,9.5,10,7.55,,claude+gpt加权平均
187,国内,中国,广西,崇左市,德天跨国瀑布景区,,景区,自然瀑布,国内,8.8,6.7,5.2,8.5,7.3,6-16岁,,5,516,RMB,6.4,5.0,夏秋,6-9月,9.0,7.25,8.2,9.5,10,7.55,,claude+gpt加权平均
188,国内,中国,安徽,芜湖市,方特旅游区,,景区,主题乐园,国内,8.35,8.2,5.6,7.3,6.3,3-14岁,,6,466,RMB,7.9,8.0,春夏秋,4-10月,7.0,8.0,8.3,9.5,10,7.54,,claude+gpt加权平均
189,国内,中国,四川,自贡市,自贡恐龙博物馆,,景区,科普教育,国内,8.3,9.0,5.0,6.0,7.0,3-14岁,,3,350,RMB,7.0,9.0,四季,全年,8.0,7.5,8.5,9.5,10,7.54,,claude+gpt加权平均
190,国内,中国,贵州,黔南州,荔波樟江风景名胜区,,景区,自然山水,国内,8.7,6.7,5.6,8.2,7.2,6-16岁,,6,446,RMB,5.9,5.0,夏,6-8月,9.5,6.75,8.7,9.5,10,7.54,,claude+gpt加权平均
191,国内,中国,湖南,常德市,桃花源旅游区,,景区,历史人文,国内,8.1,6.7,6.6,7.8,7.3,6-16岁,,4,391,RMB,6.9,7.0,春,3-4月,8.0,7.25,8.55,9.5,10,7.52,,claude+gpt加权平均
192,国内,中国,广东,阳江市,海陵岛大角湾海上丝路旅游区,,景区,海滨度假,国内,8.25,7.7,6.9,8.1,6.95,6-16岁,,5,566,RMB,7.4,6.0,夏秋,5-10月,7.5,7.75,7.3,9.5,10,7.52,,claude+gpt加权平均
193,国内,中国,云南,红河州,建水风景名胜区,,景区,历史文化,国内,8.3,6.0,6.0,8.0,8.0,6-16岁,,5,400,RMB,6.0,8.0,四季,全年,8.5,7.0,8.5,9.5,10,7.52,,claude+gpt加权平均
194,国内,中国,宁夏,中卫市,沙坡头旅游景区,,景区,沙漠绿洲,国内,8.45,7.2,5.6,8.2,7.3,6-16岁,,5,466,RMB,6.9,4.0,夏秋,5-10月,8.5,7.5,8.4,9.5,10,7.52,,claude+gpt加权平均
195,国内,中国,浙江,杭州市,富春江-新安江风景名胜区,,景区,自然山水,国内,8.5,6.0,5.0,9.0,7.0,6-16岁,,5,600,RMB,7.0,7.0,春秋,3-5月/9-10月,8.5,7.5,7.5,9.5,10,7.51,,claude+gpt加权平均
196,国内,中国,安徽,安庆市,天柱山风景区,,景区,自然山岳,国内,8.65,6.2,5.2,8.2,7.3,6-16岁,,6,441,RMB,7.4,6.0,春秋,4-5月/9-10月,8.0,7.5,8.45,9.5,10,7.51,,claude+gpt加权平均
197,国内,中国,安徽,滁州市,琅琊山景区,,景区,历史文化,国内,8.35,6.2,5.7,8.2,7.7,6-16岁,,4,371,RMB,6.9,7.0,春秋,3-5月/9-11月,8.0,6.75,9.15,9.5,10,7.51,,claude+gpt加权平均
198,国内,中国,重庆,巫山县,巫山小三峡-小小三峡,,景区,自然峡谷,国内,8.35,6.2,6.1,7.8,7.4,6-16岁,,5,494,RMB,7.1,6.0,春秋,4-5月/9-10月,8.5,7.55,7.9,9.5,10,7.51,,claude+gpt加权平均
199,国内,中国,内蒙古,呼伦贝尔市,呼伦贝尔草原旅游区,,景区,自然草原,国内,8.7,6.7,5.2,8.7,7.1,6-16岁,,6,566,RMB,6.4,3.0,夏,6-8月,9.5,7.25,8.1,9.5,10,7.51,,claude+gpt加权平均
200,国内,中国,浙江,温州市,雁荡山风景区,,景区,自然山岳,国内,8.65,6.2,5.2,8.2,7.7,6-16岁,,6,496,RMB,6.9,7.0,春秋,4-5月/9-10月,8.5,7.0,7.75,9.5,10,7.5,,claude+gpt加权平均
201,国内,中国,四川,广元市,剑门蜀道剑门关旅游区,,景区,历史自然,国内,8.45,6.2,5.6,7.7,7.8,6-16岁,,5,416,RMB,6.9,6.0,春秋,4-5月/9-10月,8.5,7.25,8.4,9.5,10,7.5,,claude+gpt加权平均
202,国内,中国,内蒙古,鄂尔多斯市,成吉思汗陵旅游区,,景区,历史文化,国内,8.1,6.7,6.9,7.3,7.45,6-16岁,,3,416,RMB,6.9,6.0,夏秋,6-9月,8.5,7.25,8.1,9.5,10,7.49,,claude+gpt加权平均
203,国内,中国,吉林,长春市,长影世纪城,,景区,影视主题,国内,8.2,7.7,6.1,7.7,6.8,6-16岁,,5,474,RMB,8.1,7.0,夏,5-10月,7.0,7.6,8.0,9.5,10,7.49,,claude+gpt加权平均
204,国内,中国,江苏,常州市,环球恐龙城休闲旅游区,,景区,主题乐园,国内,8.4,9.2,5.6,7.3,6.2,3-14岁,,6,426,RMB,7.4,7.0,春夏秋,4-10月,7.0,7.65,8.45,9.5,10,7.49,,claude+gpt加权平均
205,国内,中国,新疆,博州,赛里木湖景区,,景区,自然湖泊,国内,8.8,6.6,5.9,9.0,7.7,6-16岁,,4,546,RMB,5.9,3.0,夏,6-8月,9.5,6.75,7.55,9.5,10,7.49,,claude+gpt加权平均
206,国内,中国,广东,清远市,连州地下河景区,,景区,自然溶洞,国内,8.3,7.2,6.1,7.7,6.8,6-16岁,,3,424,RMB,7.1,8.0,四季,全年,7.5,7.35,8.25,9.5,10,7.48,,claude+gpt加权平均
207,国内,中国,宁夏,石嘴山市,沙湖旅游景区,,景区,沙漠湖泊,国内,8.3,7.6,6.4,8.0,6.8,6-16岁,,4,466,RMB,7.4,5.0,夏秋,5-9月,8.0,7.5,7.6,9.5,10,7.48,,claude+gpt加权平均
208,国内,中国,湖北,宜昌市,清江画廊景区,,景区,自然山水,国内,8.35,6.7,6.1,8.2,6.8,6-16岁,,4,449,RMB,7.1,6.0,春秋,4-5月/9-10月,8.0,7.35,8.25,9.5,10,7.47,,claude+gpt加权平均
209,国内,中国,广东,佛山市,西樵山景区,,景区,自然人文,国内,8.2,6.7,5.7,8.0,7.3,6-16岁,,5,524,RMB,8.1,7.0,春秋冬,10-5月,7.5,7.6,7.45,9.5,10,7.47,,claude+gpt加权平均
210,国内,中国,重庆,黔江区,濯水景区,,景区,古镇峡谷,国内,8.2,6.7,6.1,7.7,7.4,6-16岁,,4,444,RMB,7.1,7.0,春秋,3-5月/9-10月,7.5,7.7,8.25,9.5,10,7.47,,claude+gpt加权平均
211,国内,中国,新疆,昌吉州,天山天池景区,,景区,自然湖泊,国内,9.1,6.7,5.2,8.2,7.7,6-16岁,,5,546,RMB,6.4,4.0,夏,6-8月,9.0,7.0,7.65,9.5,10,7.47,,claude+gpt加权平均
212,国内,中国,黑龙江,牡丹江市,镜泊湖景区,,景区,自然湖泊,国内,8.35,7.1,6.4,8.5,7.3,6-16岁,,5,491,RMB,6.9,4.0,夏,6-8月,8.5,7.25,7.35,9.5,10,7.46,,claude+gpt加权平均
213,国内,中国,江苏,苏州市,沙家浜·虞山尚湖旅游区,,景区,红色生态,国内,8.2,7.6,7.0,8.0,6.7,6-16岁,,4,446,RMB,6.9,7.0,春秋,3-5月/9-11月,7.5,7.0,8.0,9.5,10,7.46,,claude+gpt加权平均
214,国内,中国,安徽,宣城市,龙川景区,,景区,历史文化,国内,8.2,6.2,6.1,7.7,7.3,6-16岁,,3,416,RMB,6.9,7.0,春秋,3-5月/9-11月,8.0,7.25,8.65,9.5,10,7.46,,claude+gpt加权平均
